지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사량(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),안개 계속시간(hr)
108,2019-01-01,-5.0,-8.2,631.0,-0.6,1525,,,,,,,8.6,290.0,1238.0,4.3,270.0,1340.0,2.1,1810.0,-14.1,34,2038,49.5,2.1,1022.6,1035.8,306.0,1031.3,1357.0,1033.8,9.6,7.5,1200.0,1.42,7.84,,,,,,3.4,2.6,-3.9,-12.8,-2.8,-1.4,-0.1,0.9,2.6,6.1,9.1,14.9,17.1,1.0,1.4,,
108,2019-01-02,-4.9,-8.8,802.0,0.2,1458,,,,,,,6.7,320.0,1547.0,3.6,320.0,1214.0,1.7,1458.0,-16.1,20,1406,42.8,1.7,1023.4,1036.6,927.0,1033.1,1405.0,1034.6,9.6,8.7,1200.0,1.81,10.48,,,,,,0.0,0.0,-3.3,-15.7,-3.0,-1.5,-0.2,0.8,2.4,5.9,8.9,14.7,17.1,1.3,1.9,,
108,2019-01-03,-3.5,-8.4,726.0,3.2,1436,,,,,,,5.3,290.0,1310.0,2.9,270.0,1233.0,1.4,1175.0,-16.3,18,1425,38.8,1.8,1024.2,1037.1,1011.0,1033.7,1549.0,1035.4,9.7,8.7,1200.0,1.79,10.28,,,,,,0.1,0.0,-2.6,-14.5,-2.5,-1.3,-0.3,0.7,2.3,5.8,8.8,14.7,17.0,1.4,2.0,,
108,2019-01-04,-1.1,-6.2,757.0,4.1,1504,,,,,,,6.3,180.0,1433.0,3.0,200.0,1435.0,1.2,1020.0,-9.3,34,1114,55.5,3.3,1019.5,1035.5,1.0,1026.7,2400.0,1030.4,9.7,3.9,1300.0,1.27,6.2,,,,,,5.5,4.1,-1.4,-11.6,-1.9,-1.0,-0.2,0.6,2.2,5.7,8.7,14.5,17.0,0.9,1.3,,
108,2019-01-05,-2.8,-5.5,2358.0,1.1,1521,,,,,,,7.1,250.0,155.0,4.3,320.0,915.0,2.2,1863.0,-15.5,20,1500,40.3,2.0,1016.6,1029.5,1027.0,1025.9,1643.0,1027.6,9.7,8.6,1200.0,1.78,10.05,,,,,,0.5,0.0,-1.2,-12.1,-1.3,-0.6,-0.1,0.7,2.2,5.5,8.6,14.5,16.9,1.4,2.0,,
108,2019-01-06,-2.8,-6.3,154.0,2.7,1512,,,,,,,6.2,290.0,1531.0,3.2,270.0,1532.0,1.2,1055.0,-16.5,19,1514,35.0,1.7,1017.6,1029.7,941.0,1027.5,1425.0,1028.7,9.7,7.7,1200.0,1.79,9.64,,,,,,3.1,0.0,-1.2,-12.4,-1.7,-0.9,-0.1,0.6,2.0,5.4,8.4,14.3,16.9,1.3,1.9,,
108,2019-01-07,-1.9,-6.2,658.0,3.1,1436,,,,,,,7.8,320.0,1348.0,4.7,320.0,1349.0,1.4,1193.0,-12.2,28,1341,46.4,2.4,1017.4,1030.1,946.0,1027.1,1644.0,1028.4,9.7,7.0,1200.0,1.59,8.71,,,,,,4.0,0.0,-2.0,-12.5,-1.8,-1.0,-0.1,0.6,2.0,5.3,8.3,14.3,16.9,1.3,1.8,,
108,2019-01-08,-3.5,-7.2,2238.0,0.5,1507,,,,,,,12.0,340.0,1910.0,6.5,320.0,1959.0,2.6,2256.0,-18.6,20,1500,31.0,1.4,1018.2,1033.4,2356.0,1027.0,1355.0,1029.2,9.7,8.7,1200.0,1.82,10.46,,,,,,0.0,0.0,-2.0,-14.3,-1.6,-0.8,-0.1,0.6,1.9,5.2,8.2,14.2,16.8,1.7,2.4,,
108,2019-01-09,-4.7,-9.4,630.0,1.3,1525,,,,,,,6.0,360.0,4.0,3.5,340.0,16.0,1.3,1109.0,-20.3,17,1511,28.8,1.2,1022.0,1036.6,948.0,1029.5,2400.0,1033.2,9.7,7.4,1300.0,1.3,8.47,,,,,,4.9,1.1,-4.1,-16.3,-2.8,-1.4,-0.2,0.6,1.8,5.1,8.1,14.1,16.8,1.2,1.7,,
108,2019-01-10,-0.6,-4.5,619.0,3.0,1222,,,,,,,6.8,270.0,1436.0,3.8,290.0,1440.0,1.3,1152.0,-10.8,27,1132,48.8,3.0,1015.5,1029.6,4.0,1024.6,1350.0,1026.5,9.8,3.1,1100.0,1.47,5.92,,,,,,8.1,8.1,-0.7,-8.8,-1.2,-0.7,-0.2,0.5,1.8,5.1,8.0,14.0,16.8,0.9,1.2,,
108,2019-01-11,2.4,-0.4,802.0,7.2,1413,,,,,,,4.8,20.0,1037.0,2.6,290.0,1904.0,1.0,827.0,-5.2,39,1440,58.8,4.2,1014.2,1027.3,948.0,1022.2,2354.0,1025.0,9.8,6.9,1200.0,1.64,8.53,,,,,,6.1,6.1,1.2,-4.4,0.3,-0.1,-0.1,0.5,1.8,4.9,7.9,14.0,16.7,1.1,1.5,,
108,2019-01-12,2.8,-0.6,2359.0,8.0,1437,,,,,,,5.9,270.0,1354.0,3.5,290.0,1822.0,1.3,1104.0,-7.4,32,1433,47.6,3.5,1012.1,1024.4,2356.0,1020.9,1420.0,1022.9,9.8,6.0,1200.0,1.41,7.71,,,,,,3.9,3.0,2.6,-8.8,0.9,0.0,-0.1,0.5,1.8,4.8,7.8,13.8,16.6,1.3,1.8,,
108,2019-01-13,1.2,-3.0,605.0,7.6,1419,,,,,,,5.8,270.0,1431.0,3.2,270.0,1438.0,1.4,1218.0,-7.8,21,1432,54.3,3.5,1014.8,1026.7,1008.0,1024.4,1.0,1025.7,9.8,8.6,1200.0,1.72,9.97,,,,,,0.0,0.0,0.5,-9.5,0.1,0.0,0.0,0.6,1.8,4.8,7.7,13.8,16.6,1.4,2.1,,
